person,job,label,theme,text
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על הגשת הנחיות הקורונה לציבור,בכל מקום בעולם לקחו איש מקצוע שקט שיסביר לאזרחים כל יום את הנחיות הקורונה
אמיר אוחנה,השר לבטחון פנים הליכוד,1,על הגבלת הפגנות בסגר הקורונה,"בשבדיה אסורה התקהלות של יותר מ-50 איש לכל מטרה, גם להפגנה"
גילה גמליאל,השרה להגנת הסביבה הליכוד,0,על תרומת נתניהו להתיישבות היהודית בשטחים,בתקופת נתניהו יש עלייה מאוד גדולה בהתיישבות ביוש. הבנייה הולכת ועולה
אלי אבידר,חבר כנסת ישראל ביתנו,4,על מערך התחקירים לאיתור חולי קורונה,אמרו שיש 400 חוקרים אפידמיולוגיים. היום אנחנו מבינים שיש רק 27
בנימין נתניהו,ראש הממשלה הליכוד,0,על הסגר שהוכרז בישראל בגל הקורונה השני,"באוסטריה ובאוסטרליה, בספרד ובצרפת, בגרמניה ובבריטניה - בכל המדינות פתחו, התחלואה עלתה, ואז מתחילים להגביל ולסגור"
נפתלי בנט,"יו""ר ימינה ימינה",4,על בדיקות קורונה לכל דכפין,"בישראל אי-אפשר להשיג בדיקות זמינות בזול. למה במלזיה, בגאורגיה, במסצ'וסטס, בניו יורק אפשר?"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",0,על אישור תכניות בנייה ליהודים מעבר לקו הירוק,"״מתחילת 2020 נבנו 2,000 דירות בלבד, כשבתקופה מקבילה כשכיהנתי כשר הביטחון חתמתי על היתרים ללמעלה מ-7,000 דירות"
יואב גלנט,שר החינוך הליכוד,3,על פתיחת בתי ספר בערים מוכות קורונה,אנחנו יודעים שהילדים הקטנים בכלל לא מידבקים
יובל שטייניץ,שר האנרגיה הליכוד,3,על השיתוק של עבודת הממשלה,תמיד באוגוסט יש שבועיים-שלושה בלי ישיבות ממשלה. כך היה בכל השנים הנורמליות
יואל רזבוזוב,"חבר כנסת יש עתיד-תל""ם",0,"על הבחירות הפנימיות ליו""ר המפלגה","יש עתיד מפלגה צעירה, 8 שנים. גם בליכוד הפריימריז התחילו בשנת 92', אחרי מעל 8 שנים"
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",5,על מחדלי משרד החינוך בהתמודדות עם הקורונה,לבתי הספר אין נוהל מה קורה אם יש תלמיד או איש צוות חולה
זאב אלקין,מועמד לכנסת תקווה חדשה,2,על הקלות למי שכביכול התחסנו לקורונה,היום מי שחלה בקורונה וחוזר לארץ פטור מבידוד
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",3,על סיווג התחלואה בקורונה בישראל ובעולם,"אנחנו מדינה אדומה, בזמן שכל אירופה כבר ירוקה"
איילת שקד,חברת כנסת ימינה,4,על תרומתה לייעול עבודת הפרקליטות כשרת משפטים,לפני שנכנסתי לתפקיד תיקים נמרחו שנים בפרקליטות. זמן החקירות והזמן שתיקים היו פתוחים התקצר משמעותית
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",0,על המשך קיום העם היהודי,באירופה ובארצות הברית אנחנו מגיעים ל-70% נישואי תערובת והתבוללות
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",2,על מתן זכות עלייה לנכדי יהודים ב-1970,סעיף הנכד בחוק השבות לא הושפע מחוקי נירנברג: אין לכך זכר בדיוני הכנסת. זו המצאת אמנון רובינשטיין שהיה אז חכ
אופיר כץ,חבר כנסת הליכוד,1,על הפיקוח הציבורי במעונות יום,"80 מפקחים צריכים לפקח על 10,000 פעוטונים, לפי ההערכה, ויש היום רק 23"
יזהר שי,שר המדע והטכנולוגיה כחול לבן,1,"על מינוי מפכ""ל המשטרה",בהסכם שבינינו ובין הליכוד יש הסכמה שאנחנו נדון במינויי בכירים ונסכם אותם. עוד לא סיכמנו
צבי האוזר,חבר כנסת כחול לבן,0,על הצעתו להחיל את חוק יסוד משאל עם על יהודה ושומרון,חמש ממשלות שונות ניהלו מומ על ירידה מרמת הגולן. חוק יסוד: משאל עם שם לזה סוף. כל ממשלה שתרצה לרדת מהגולן צריכה לעבור דרך הציבור
בנימין נתניהו,ראש הממשלה הליכוד,2,על חסינות מפני חקירות בפרלמנט הגרמני,"בגרמניה אי אפשר לחקור חבר פרלמנט בלי אישור המליאה, מפני שמבינים שם כמו בדמוקרטיות רבות, שעלולים לנסות לחולל הפיכה שלטונית באמצעים פסולים"
זאב אלקין,מועמד לכנסת תקווה חדשה,4,על הטיפול המשפטי באיומים כלפי נתניהו ומשפחתו,"כמה כתבי אישום הוגשו, וכמה אנשים הורשעו על איומים והסתה נגד ראש הממשלה?"
מיקי זוהר,"יו""ר הקואליציה הליכוד",4,על הבחירה בתקציב חד- או דו-שנתי,תקציב חד שנתי הוא תקציב נכון מבחינת כל גורמי המקצוע
מירי רגב,שרת התחבורה הליכוד,4,על עידוד ההפגנות נגד הממשלה,הקרן החדשה כותבים תעבירו את הטלפונים שלכם למצב טיסה. זו עבירה על החוק
שלמה קרעי,חבר כנסת הליכוד,4,על כוונות הקואליציה החדשה,"הם מחוקקים חוק בקווי היסוד שלהם בהסכמים הקואליציונים שלא רק להגביל את הכהונה שלו כראש ממשלה, שהוא לא יוכל בכלל להתמודד בכנסת"
מנסור עבאס,"יו""ר רע""מ הרשימה המשותפת",3,"על הצטרפות רע""ם לקואליציה",זאת פעם ראשונה שמפלגה ערבית שותפה להקמת ממשלה
ינון אזולאי,"חבר כנסת ש""ס",4,על חלוקת התפקידים בקואליציה,אני עדיין לא ראיתי ממשלה ששניים מאותה מפלגה לוקחים גם את ועדת כספים וגם את משרד האוצר
מוחמד ברכה,"יו""ר ועדת המעקב של ערביי ישראל",5,על פגיעה בבתי כנסת בלוד,לא הייתה פגיעה בשום בית כנסת בלוד
מירב בן-ארי,חברת כנסת יש עתיד,5,על הכוונה לחסן בני נוער,"רוצים לחסן ילדים על-סמך ניסוי שנוסה על 2,200 ילדים. אין הצדקה אפידמיולוגית קלינית לחסן ילדים וידוע שהם לא מדביקים"
אלי כהן,שר המודיעין הליכוד,4,על גידול האוכלוסייה בעוטף עזה,במהלך העשור האחרון עוטף עזה הפך לאזור פורח עם כמעט הכפלה של האוכלוסייה שנמצאת שם
מירי רגב,שרת התחבורה הליכוד,2,על הכספים הקטאריים לחמאס,"הכסף הזה עבר בתקופתו של ליברמן, בתקופתו של בוגי"
עיסאווי פריג',חבר כנסת מרצ,2,על עליית יהודים להר הבית,בסטטוס קוו שהיה עד שנת 2000 מבקרים יהודים יכולים לעלות להר הבית
אבי דיכטר,חבר כנסת הליכוד,0,על השקפת העולם של מרצ,מרצ דרשה להחליף את המנון התקווה באינטרנציונל
שמחה רוטמן,חבר כנסת הציונות הדתית,1,"על האפשרות להקים ממשלה בתמיכת רע""ם",ממשלת מיעוט מעולם לא קמה במדינת ישראל
אמילי מואטי,חברת כנסת העבודה,1,על התגובה לביטול משפטו של רוצח שרה אלימי בצרפת,"לפי החוק הישראלי, אזרח ישראלי יכול לפנות לבימש על עבירה [בחול] על רקע אנטישמי"
מרב מיכאלי,"יו""ר העבודה העבודה",1,על הרצל וזכויות נשים,"מחזון הרצל למדינת היהודים נעדרת המילה שוויון, ונשים מוזכרות רק בהקשרי הריון ולידה או כדבר שיש 'לתת ולקחת' למען האומה"
בנימין נתניהו,ראש הממשלה הליכוד,5,על הפתרון שלו לפלונטר הפוליטי,"הציבור יחליט מי ירכיב את הממשלה, ולאחר מכן אפשר יהיה להפיל אותה באי-אמון קונסטרוקטיבי. עושים את זה בהרבה מדינות, כולל אירופה"
אלעזר שטרן,חבר כנסת יש עתיד,4,"על הטיפול של אגף השיקום בנכי צה""ל","כמות נכי צהל הולכת וגדלה עם השנים, למרות שהמלחמות הולכות ופוחתות"
מירב בן-ארי,חברת כנסת יש עתיד,1,על זהות יושבי ראש הכנסת לדורותיהם,עד היום בכל ה-70 שנה הייתה יושבת ראש [כנסת] אחת
שרן השכל,חברת כנסת תקווה חדשה,2,על הבקשה שלא תיכנס למליאת הכנסת עם תינוקת,אכן התבקשתי לצאת מהמליאה. בפרוטוקול אסור להכניס תינוקות למליאת הכנסת
אבי דיכטר,חבר כנסת הליכוד,0,"על ביטול מעקב השב""כ אחרי מגעים עם חולי קורונה","לפי משרד הבריאות, איכוני שבכ מנעו 210 מתים ו-30 אלף חולים מקורונה בחודשיים האחרונים"
יועז הנדל,חבר כנסת תקווה חדשה,5,על ניסיון להטעות את בוחריו ביום הבחירות,הקימו מפלגת קש כדי לגרום לאובדן קולות של תקווה חדשה. נתניהו מפחד רק מהמנדטים של תקווה חדשה [...] הוא ינסה לרמות
בנימין נתניהו,ראש הממשלה הליכוד,5,על תמיכתו בהתיישבות יהודית מעבר לקו הירוק,"אוכלוסיית יהודה ושומרון הכפילה את עצמה בעשור האחרון. חרף כל הקשיים, היא הכפילה!"
יובל שטייניץ,שר האנרגיה הליכוד,3,על טיפולו במשבר הכלכלי ב-2009,"כשנתניהו מינה אותי לאוצר התקרבנו ל-10% אבטלה, והתחזיות היו שכמו ספרד, יוון ואיטליה נגיע גם ל-25%. בפחות משנה הורדנו את האבטלה למינימום לפני כולם"
בנימין נתניהו,ראש הממשלה הליכוד,4,על המקום שבו ביקר בסיור בחירות בדרום,ראש הממשלה נתניהו ברהט
נפתלי בנט,"יו""ר ימינה ימינה",0,על התשלום השנתי למובטלים,אם תהפוך את המס בישראל למאוד נמוך [...] לא נבזבז 18 מיליארד שקל על דמי אבטלה כי לא יהיו כמעט מובטלים
אלי כהן,שר המודיעין הליכוד,3,על פתיחת החקירה בעניין ישראל בבית הדין הפלילי הבינלאומי,בית הדין קובע שגם הבנייה בירושלים היא עבירה
מיקי זוהר,"יו""ר הקואליציה הליכוד",5,"על פסיקת בג""ץ לגבי גיור רפורמי בישראל","אחרי החלטת בגץ, כל אדם בעולם ייגש לרב רפורמי ויקבל אישור עלייה תוך 30 יום"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",0,על תעסוקת חרדים,"אם החרדים יעבדו המדינה תרוויח 20 מיליארד שקל בשנה, שבהם אפשר להוסיף 20 בתיח, 2,000 רופאים, להגדיל פי 10 את קצבת הזקנה"
מרב מיכאלי,"יו""ר העבודה העבודה",4,על תוצאות המדיניות הכלכלית של נתניהו,הפערים בין עניים לעשירים בישראל בתקופת נתניהו הם הגבוהים אי פעם. העוני בתקופת נתניהו גדול מבכל תקופה אחרת
יפעת שאשא ביטון,"יו""ר ועדת הקורונה תקווה חדשה",0,על טורניר הג'ודו שישראל מארחת,600 אנשים שנכנסים ללא בידוד [...] כשעוד מאוגוסט דרשתי שיהיו בדיקות לכל מי שנכנס לישראל
יריב לוין,שר התיירות הליכוד,2,על גל ההתפטרויות בכנסת ה-23,"זה דבר שלא היה כדוגמתו: למעלה מ-20 חכים באים והולכים, חלק לא מבוטל נבחרו במפלגות אווירה או עברו אליהן"
זאב אלקין,מועמד לכנסת תקווה חדשה,3,על מינוי צמרת הליכוד לתפקידים בכירים בממשלה,"״המשמעות של דמוקרטיה ליכודית נעלמה. זה לא רק גדעון סער, זה כל העשירייה הפותחת. בעבר תמיד מי שזכה בראשות [המפלגה] הציע למפסיד תפקיד בכיר״"
נפתלי בנט,"יו""ר ימינה ימינה",4,על ההצדקה לתוכנית הפחתת המס של ימינה,"עד 2003 סינגפור דמתה לישראל בתמג לנפש. מאז רפורמות להפחתת מס, ייעול המגזר הציבורי ופתיחת שווקים, תושביה התעשרו כמעט פי 2 מאיתנו"
אמיר אוחנה,השר לבטחון פנים הליכוד,3,על הפשיעה בחברה הערבית,20% מהאוכלוסייה מחוללת 60% מהפשיעה
מרב מיכאלי,"יו""ר העבודה העבודה",2,על השוויון המגדרי ברשימת העבודה,"גבר-אישה-אישה-גבר לסירוגין, כל הרשימה: פעם ראשונה במדינת ישראל"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",5,על הנטל הכלכלי של החינוך החרדי,כל הקצבאות הילדים וכל התמיכות בישיבות וקצבאות לאברכים זה 7 מיליארד שקל
יואב קיש,סגן שר הבריאות הליכוד,3,על כניסה לישראל ללא בדיקת קורונה,"הבעיה היא דווקא אי-שמירת הבידוד. מעל 50%, אולי 70% מהתחלואה מתגלה בתקופת הבידוד"
עאידה תומא סלימאן,חברת כנסת הרשימה המשותפת,4,על התמיכה בציבור הערבי בהחרמת ההלוויה של פרס,"בבחירות אחרי הלוויית פרס שוב הייתה ירידה בייצוג המפלגות הציוניות באוכלוסייה הערבית, ועלייה בייצוג הרשימה המשותפת"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",0,על הצביעות הפוליטית של הליכוד,"כשהגשתי הצח לריבונות בבקעה, נתניהו והליכוד הצביעו נגד עם הרשימה המשותפת"
יובל שטייניץ,שר האנרגיה הליכוד,2,על התגובות לגילוי מוטציית הקורונה הבריטית,הרבה מדינות אירופיות אמרו גם לאזרחים שלהן: מי שבבריטניה שיישאר כמה שבועות עד שיתבהר המצב
יובל שטייניץ,שר האנרגיה הליכוד,3,על מבצע החיסון נגד קורונה,מדינת ישראל היא המדינה הראשונה בעולם שכבר הבטיחה לעצמה מנות חיסון לכל אזרחיה
יואב גלנט,שר החינוך הליכוד,5,על הצמיחה בישראל,התוצר לנפש במדינת ישראל עלה פי 2 בעשור האחרון
ניצן הורוביץ,"יו""ר מרצ מרצ",5,על הייצוג השוויוני במרצ,אנחנו המפלגה הראשונה בתולדות ישראל שמציבה שני מועמדים ערבים בחמישייה הראשונה
הליכוד,מפלגה,4,על התוכנית לפיתוח כלכלי בחברה הערבית,נתניהו הביא 15 מיליארד שקל למגזר הערבי - פי 100 יותר מכל ראש ממשלה קודם בישראל
מנסור עבאס,"יו""ר רע""מ הרשימה המשותפת",2,על דפוסי ההצבעה של הציבור הערבי,"נָתַנּוּ לברק 98% מהקולות שלנו לראשות הממשלה, הפנה אלינו עורף - ואתה יודע מה קיבלנו"
ירון זליכה,"יו""ר המפלגה ""הכלכלית""",0,על הישגיו כחשב הכללי באוצר,התקופה שאני כיהנתי באוצר הייתה תקופת הצמיחה הכי ארוכה והכי חזקה בישראל
איילת שקד,חברת כנסת ימינה,2,על הצניחה בתוצר בגלל הקורונה,"לראשונה בהיסטוריה התוצר של ישראל יורד. לא [כשהיתה] אינפלציה, לא במלחמת יום כיפור - היום!"
אלי אבידר,חבר כנסת ישראל ביתנו,4,על הישגי נתניהו בבחירות האחרונות,בשלוש מערכות הבחירות האחרונות נתניהו כל פעם יורד. המצב הכי טוב שלו היה בסבב הראשון
אמיר אוחנה,השר לבטחון פנים הליכוד,2,על השפעת נתניהו על מערכת המשפט,"העליון קבע שזה תקין שרמ עם כתב אישום יקבע מי יהיה שר המשפטים, ומי יקבע מי יהיו השופטים"
איציק שמולי,שר העבודה והרווחה העבודה,3,על הישגיו במשרד הרווחה,"בזמן שאין תקציב הכפלתי את מספר המפקחים [במעונות] פי שישה. היו רק 20, היום יש 120"
צחי הנגבי,השר לענייני התיישבות הליכוד,5,על הסיוע הממשלתי במגפת הקורונה,כ-150 מיליארד שקל הופנו למענקים לבעלי עסקים. זה מה שהמדינה הקצתה
יוליה מלינובסקי,חברת כנסת ישראל ביתנו,3,על לימודי הליבה של תלמידים חרדים,"הילדים החרדים פשוט לוקחים מהם עתיד. הם לא לומדים לימודי ליבה לא מתמטיקה, לא אנגלית"
מירי רגב,שרת התחבורה הליכוד,5,על ההכנות לחיסון מפני קורונה,"גרמניה - אין לה את החיסונים! ראש הממשלה הימר נכון, והביא את החיסונים"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",4,על התמותה מקורונה בישראל,תשווה כמה מתים למיליון איש בקפריסין וכמה אצלנו. אצלנו דומני פי 40
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",5,על הכוח האלקטורלי שלו ושל בני גנץ,"במערכת הבחירות הראשונה והשנייה שנינו היינו על הפתק כמועמדים משותפים, והיה 35 מנדטים. דווקא הירידה הייתה כשירדתי מהפתק"
רם שפע,חבר כנסת כחול לבן,4,על כללי אישור תקציב המדינה,נסביר: ממשלה אמורה כל שנה לסגור מראש את התקציב. מה שהיינו אמורים לסגור בתחילת 21' זה תקציב 22'
קטי שטרית,חברת כנסת הליכוד,4,על החלטות ועדת השרים לחקיקה,"הגשתי 19 הצעות חוק - אחת לא עברה. אבל כשהאופוזיציה מגישה, מיד זה עולה"
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על סגירת בתי הספר בשל הקורונה,אנחנו המדינה היחידה - אנחנו ובנגלדש - [שבה] ממרץ ילדים לא היו בבית ספר
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",5,על נסיעת נתניהו לערב הסעודית,רהמ נוסע לערב הסעודית ולא מעדכן - בניגוד לחוק שקובע שכשהוא עוזב את ישראל הוא ימנה ממ. כשהוא הלך לניתוחון בישראל מינו ממ
מירי רגב,שרת התחבורה הליכוד,5,על הגדרת סעודיה ובחריין כמדינות ירוקות לקורונה,"מי שקובע מי המדינות הירוקות זה לא אנחנו, אלא הארגון הרפואי הבינלאומי"
עמיר פרץ,שר הכלכלה העבודה,4,על מצב העבודה בסקרי הבחירות,"העבודה הייתה גם הייתה בשפל כזה.
אחרי שברק... היא לא עברה בסקרים את אחוז החסימה"
יולי אדלשטיין,שר הבריאות הליכוד,5,על חוק שיחייב התחסנות מפני קורונה,למיטב ידיעתי אין אף מדינה דמוקרטית שבה יש חוק חיסון חובה
יפעת שאשא ביטון,"יו""ר ועדת הקורונה תקווה חדשה",5,על הקריטריונים להקלת הגבלות הקורונה,"כשהתחילו לצאת מהסגר השני יצרו את מקדם ההדבקה, הכוכב החדש בשיח שהוא מקדם הפחדה להכשרת המגבלות הבאות"
"ישראל כ""ץ",שר האוצר הליכוד,3,על ביטול המכס ביבוא חמאה,"הביקוש [לחמאה] גדל, אבל לא רק מהיבוא. גם התוצרת המקומית נמכרה יותר מאשר קודם"
יואב גלנט,שר החינוך הליכוד,5,"על כך שבתיה""ס לא אשמים בגל הקורונה",בסוף אוגוסט היו במדינת ישראל כמיליון חולים - 15% מהאוכלוסייה לפי הבדיקות
בנימין נתניהו,ראש הממשלה הליכוד,4,על היציבות הפיננסית של ישראל,"S&P משאירה את דירוג האשראי של ישראל ברמתו הגבוהה בזמן משבר הקורונה, בשעה שהיא הורידה אותו למדינות מפותחות"
שלמה קרעי,חבר כנסת הליכוד,3,על השפעת ההצמדה של שכר בכירים לשכר הממוצע,"יש קרוב לאלף בכירים [כאלה] במגזר הציבורי, שמקבלים שני מיליארד שקלים בשנה"
גדעון סער,חבר כנסת הליכוד,3,על ההצדקה לבחירות אזוריות לכנסת,"יש תת-ייצוג לאזורים שלמים בישראל בדגש על פריפריה, או האזורים היותר-מרוחקים מהמרכז. ויש ייצוג-יתר למרכז"
רפי פרץ,שר לירושלים ומורשת הבית היהודי,2,על מצוקת המלונות בירושלים,"85% מהתיירים בירושלים זרים, והתפוסה ירדה ל-3%. יש בעיר 17 אלף חדרים, פי 1.5 יותר מאילת, ויותר מכל שאר הארץ יחד"
אורלי לוי-אבקסיס,השרה לחיזוק וקידום קהילתי סיעת יחיד,3,על הצדקת קיומו של המשרד שלה,יש מדינות שכבר יש להן משרדי קהילות. אפילו באבו-דאבי יש שר לענייני קהילה
זאב אלקין,מועמד לכנסת תקווה חדשה,0,על הצורך בסיוע דיפרנציאלי לסטודנטים,20% מהסטודנטים מגיעים מסוציו-אקונומי 10-9
יפעת שאשא ביטון,"יו""ר ועדת הקורונה תקווה חדשה",3,"על המידע שהוצג לקבינט הקורונה לקראת החזרת בתיה""ס לפעילות",לא היה פילוח לגילאים. אנחנו יודעים בוודאות שילדים עד גיל 10-9 נדבקים ממש מעט ומדביקים ממש מעט
יולי אדלשטיין,שר הבריאות הליכוד,5,על ירידת הליכוד בסקרים בזמן הקורונה,אין כרגע מדינה עם ממשלה פופולרית שזוכה להרבה מאוד אמון הציבור
סמי אבו שחאדה,חבר כנסת הרשימה המשותפת,3,על ההסכם עם איחוד האמירויות,בטקסט בערבית לא מופיעות המילה 'נורמליזציה' וההקדמה שבה מוזכר הסכסוך הישראלי-פלסטיני
מיקי זוהר,"יו""ר הקואליציה הליכוד",4,על האפשרות לפטר את היועץ המשפטי לממשלה,מי שצריך לדאוג לפיטוריו [של מנדלבליט] או לאשר אותם זה שר המשפטים אבי ניסנקורן
יוליה מלינובסקי,חברת כנסת ישראל ביתנו,3,על הדרך למנוע התפשטות קורונה,ארגון הבריאות העולמי פרסם שסגר זה לא יעיל ושהם ממליצים למדינות לא להשתמש בסגרים
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",4,על העיכוב באישור התקציב בישראל,תעבור על רשימת מדינות OECD. כמעט כולן כבר אישרו תקציב ל-2021
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",4,על אפליה לרעה של מחאות מימין,"אחרי שנים של הגבלת הפגנות ימין מול בית רהמ, יומיים הפגנות שמאל - והופ! בגץ מבטל את ההגבלות"
זאב אלקין,מועמד לכנסת תקווה חדשה,2,על המחאה נגד מכירת נשק ישראלי לאזרים,אנחנו סוחרים עם אזרבייג'ן במיליארדי דולרים בשנה בנפט ועוד תחומים. הנשק לא חריג
גילה גמליאל,השרה להגנת הסביבה הליכוד,3,על הנפקת החברה לאיכות הסביבה,זוהי הנפקת המיעוט הראשונה של חברה ממשלתית בישראל
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על הגשת הנחיות הקורונה לציבור,בכל מקום בעולם לקחו איש מקצוע שקט שיסביר לאזרחים כל יום את הנחיות הקורונה
אמיר אוחנה,השר לבטחון פנים הליכוד,1,על הגבלת הפגנות בסגר הקורונה,"בשבדיה אסורה התקהלות של יותר מ-50 איש לכל מטרה, גם להפגנה"
גילה גמליאל,השרה להגנת הסביבה הליכוד,0,על תרומת נתניהו להתיישבות היהודית בשטחים,בתקופת נתניהו יש עלייה מאוד גדולה בהתיישבות ביוש. הבנייה הולכת ועולה
אלי אבידר,חבר כנסת ישראל ביתנו,4,על מערך התחקירים לאיתור חולי קורונה,אמרו שיש 400 חוקרים אפידמיולוגיים. היום אנחנו מבינים שיש רק 27
בנימין נתניהו,ראש הממשלה הליכוד,0,על הסגר שהוכרז בישראל בגל הקורונה השני,"באוסטריה ובאוסטרליה, בספרד ובצרפת, בגרמניה ובבריטניה - בכל המדינות פתחו, התחלואה עלתה, ואז מתחילים להגביל ולסגור"
נפתלי בנט,"יו""ר ימינה ימינה",4,על בדיקות קורונה לכל דכפין,"בישראל אי-אפשר להשיג בדיקות זמינות בזול. למה במלזיה, בגאורגיה, במסצ'וסטס, בניו יורק אפשר?"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",0,על אישור תכניות בנייה ליהודים מעבר לקו הירוק,"״מתחילת 2020 נבנו 2,000 דירות בלבד, כשבתקופה מקבילה כשכיהנתי כשר הביטחון חתמתי על היתרים ללמעלה מ-7,000 דירות"
יואב גלנט,שר החינוך הליכוד,3,על פתיחת בתי ספר בערים מוכות קורונה,אנחנו יודעים שהילדים הקטנים בכלל לא מידבקים
יובל שטייניץ,שר האנרגיה הליכוד,3,על השיתוק של עבודת הממשלה,תמיד באוגוסט יש שבועיים-שלושה בלי ישיבות ממשלה. כך היה בכל השנים הנורמליות
יואל רזבוזוב,"חבר כנסת יש עתיד-תל""ם",0,"על הבחירות הפנימיות ליו""ר המפלגה","יש עתיד מפלגה צעירה, 8 שנים. גם בליכוד הפריימריז התחילו בשנת 92', אחרי מעל 8 שנים"
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",5,על מחדלי משרד החינוך בהתמודדות עם הקורונה,לבתי הספר אין נוהל מה קורה אם יש תלמיד או איש צוות חולה
זאב אלקין,מועמד לכנסת תקווה חדשה,2,על הקלות למי שכביכול התחסנו לקורונה,היום מי שחלה בקורונה וחוזר לארץ פטור מבידוד
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",3,על סיווג התחלואה בקורונה בישראל ובעולם,"אנחנו מדינה אדומה, בזמן שכל אירופה כבר ירוקה"
איילת שקד,חברת כנסת ימינה,4,על תרומתה לייעול עבודת הפרקליטות כשרת משפטים,לפני שנכנסתי לתפקיד תיקים נמרחו שנים בפרקליטות. זמן החקירות והזמן שתיקים היו פתוחים התקצר משמעותית
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",0,על המשך קיום העם היהודי,באירופה ובארצות הברית אנחנו מגיעים ל-70% נישואי תערובת והתבוללות
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",2,על מתן זכות עלייה לנכדי יהודים ב-1970,סעיף הנכד בחוק השבות לא הושפע מחוקי נירנברג: אין לכך זכר בדיוני הכנסת. זו המצאת אמנון רובינשטיין שהיה אז חכ
אופיר כץ,חבר כנסת הליכוד,1,על הפיקוח הציבורי במעונות יום,"80 מפקחים צריכים לפקח על 10,000 פעוטונים, לפי ההערכה, ויש היום רק 23"
יזהר שי,שר המדע והטכנולוגיה כחול לבן,1,"על מינוי מפכ""ל המשטרה",בהסכם שבינינו ובין הליכוד יש הסכמה שאנחנו נדון במינויי בכירים ונסכם אותם. עוד לא סיכמנו
צבי האוזר,חבר כנסת כחול לבן,0,על הצעתו להחיל את חוק יסוד משאל עם על יהודה ושומרון,חמש ממשלות שונות ניהלו מומ על ירידה מרמת הגולן. חוק יסוד: משאל עם שם לזה סוף. כל ממשלה שתרצה לרדת מהגולן צריכה לעבור דרך הציבור
בנימין נתניהו,ראש הממשלה הליכוד,2,על חסינות מפני חקירות בפרלמנט הגרמני,"בגרמניה אי אפשר לחקור חבר פרלמנט בלי אישור המליאה, מפני שמבינים שם כמו בדמוקרטיות רבות, שעלולים לנסות לחולל הפיכה שלטונית באמצעים פסולים"
זאב אלקין,מועמד לכנסת תקווה חדשה,4,על הטיפול המשפטי באיומים כלפי נתניהו ומשפחתו,"כמה כתבי אישום הוגשו, וכמה אנשים הורשעו על איומים והסתה נגד ראש הממשלה?"
מיקי זוהר,"יו""ר הקואליציה הליכוד",4,על הבחירה בתקציב חד- או דו-שנתי,תקציב חד שנתי הוא תקציב נכון מבחינת כל גורמי המקצוע
מירי רגב,שרת התחבורה הליכוד,4,על עידוד ההפגנות נגד הממשלה,הקרן החדשה כותבים תעבירו את הטלפונים שלכם למצב טיסה. זו עבירה על החוק
גדי יברקן,סגן השר לביטחון פנים הליכוד,4,על מקור הרעיון להקמת יישוב ליוצאי אתיופיה,לאחינו מברית המועצות נתנו מושבים. ליוצאי אתיופיה לא נתנו את הדבר הזה
אופיר אקוניס,השר לשיתוף פעולה אזורי הליכוד,5,על הסיבה לכך שיהודים חיים מחוץ לארץ ישראל,"טרגדיית הגלויות החלה לפני 2,000 שנה. מכאן נפוצנו לכל העולם והחלה החלוקה לעדות"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",4,על הקלות לחרדים בימי הקורונה,אישרו ל-17 אלף תלמידי ישיבות מארהב להגיע לחגים בלי שום מגבלות שחלות על שאר האוכלוסייה
איילת שקד,חברת כנסת ימינה,1,על האפשרות למנוע התפשטות קורונה,"בגרמניה יש מעבדה בשדה התעופה. מי שנכנס ממדינה אדומה עושה בדיקה, תוך שלוש שעות תוצאות"
אוסנת מארק,חברה בוועדה למינוי שופטים ליכוד,5,על הבזבוז בלשכת עורכי הדין,"הלשכה מגלגלת למעלה מ-150 מיליון שקל, ועורכי הדין מחויבים באגרה של יותר מ-1,200 שקל"
