person,job,label,theme,text,date,lemmatized_text
גילה גמליאל,השרה להגנת הסביבה הליכוד,0,על תרומת נתניהו להתיישבות היהודית בשטחים,בתקופת נתניהו יש עלייה מאוד גדולה בהתיישבות ביוש. הבנייה הולכת ועולה,2020-09-15,ב תקופה נתניהו יש עלייה מאוד גדול ב התיישבות ביוש . ה בנייה הלך ו עלה
אלי אבידר,חבר כנסת ישראל ביתנו,4,על מערך התחקירים לאיתור חולי קורונה,אמרו שיש 400 חוקרים אפידמיולוגיים. היום אנחנו מבינים שיש רק 27,2020-09-14,אמר ש יש 400 חוקר אפידמיולוגיים . היום הוא הבין ש יש רק 27
בנימין נתניהו,ראש הממשלה הליכוד,0,על הסגר שהוכרז בישראל בגל הקורונה השני,"באוסטריה ובאוסטרליה, בספרד ובצרפת, בגרמניה ובבריטניה - בכל המדינות פתחו, התחלואה עלתה, ואז מתחילים להגביל ולסגור",2020-09-13,"ב אוסטריה ו ב אוסטרליה , בספרד ו ב צרפת , ב גרמני ו ב בריטניה ב כול ה מדינה פתח , ה תחלואה עלה , ו אז התחיל הגביל ו סגר"
נפתלי בנט,"יו""ר ימינה ימינה",4,על בדיקות קורונה לכל דכפין,"בישראל אי-אפשר להשיג בדיקות זמינות בזול. למה במלזיה, בגאורגיה, במסצ'וסטס, בניו יורק אפשר?",2020-09-08,"בישראל אי אפשר השיג בדיקה זמין בזול . למה ב מלזיה , בגאורגיה , במסצ ו סטס , בן ירק אפשר ?"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",0,על אישור תכניות בנייה ליהודים מעבר לקו הירוק,"״מתחילת 2020 נבנו 2,000 דירות בלבד, כשבתקופה מקבילה כשכיהנתי כשר הביטחון חתמתי על היתרים ללמעלה מ-7,000 דירות",2020-09-06,"מ תחילה 2020 נבנה 2,000 דירה בלבד , כש ב תקופה מקביל כש כיהן כ שר ה ביטחון חתם על ה יתר ל למעלה מ 7,000 דירה"
יואב גלנט,שר החינוך הליכוד,3,על פתיחת בתי ספר בערים מוכות קורונה,אנחנו יודעים שהילדים הקטנים בכלל לא מידבקים,2020-09-05,הוא ידע ש ה ילד ה קטן בכלל לא מידבק
יובל שטייניץ,שר האנרגיה הליכוד,3,על השיתוק של עבודת הממשלה,תמיד באוגוסט יש שבועיים-שלושה בלי ישיבות ממשלה. כך היה בכל השנים הנורמליות,2020-09-05,תמיד ב ה אוגוסט יש שבוע שלושה בלי ישיבה ממשלה . כך היה ב כול ה שנה ה נורמלי
יואל רזבוזוב,"חבר כנסת יש עתיד-תל""ם",0,"על הבחירות הפנימיות ליו""ר המפלגה","יש עתיד מפלגה צעירה, 8 שנים. גם בליכוד הפריימריז התחילו בשנת 92', אחרי מעל 8 שנים",2020-09-03,"יש עתיד מ פלגה צעיר , 8 שנה . גם ב ליכוד ה פריימריס התחיל ב שינה 92 , אחרי מעל 8 שנה"
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",5,על מחדלי משרד החינוך בהתמודדות עם הקורונה,לבתי הספר אין נוהל מה קורה אם יש תלמיד או איש צוות חולה,2020-08-31,ל בית ה ספר אין נוהל מה קרה אם יש תלמיד או איש צוות חולה
זאב אלקין,מועמד לכנסת תקווה חדשה,2,על הקלות למי שכביכול התחסנו לקורונה,היום מי שחלה בקורונה וחוזר לארץ פטור מבידוד,2020-08-31,היום מי ש חלה ב ה קורונה ו חזר ל ה ארץ פטר מ בידוד
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",3,על סיווג התחלואה בקורונה בישראל ובעולם,"אנחנו מדינה אדומה, בזמן שכל אירופה כבר ירוקה",2020-08-26,"הוא מדינה אדום , ב ה זמן ש כול אירופה כבר ירוק"
איילת שקד,חברת כנסת ימינה,4,על תרומתה לייעול עבודת הפרקליטות כשרת משפטים,לפני שנכנסתי לתפקיד תיקים נמרחו שנים בפרקליטות. זמן החקירות והזמן שתיקים היו פתוחים התקצר משמעותית,2020-08-26,לפני ש נכנס ל ה תפקיד תיק נמרח שנה ב ה פרקליטות . זמן ה חקירה ו ה זמן ש תיק היה פתוח התקצר משמעותי
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",0,על המשך קיום העם היהודי,באירופה ובארצות הברית אנחנו מגיעים ל-70% נישואי תערובת והתבוללות,2020-08-26,ב ה אירופה ו ב ארץ ה ברית הוא הגיע ל 70 נישואין תערובת ו התבוללות
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",2,על מתן זכות עלייה לנכדי יהודים ב-1970,סעיף הנכד בחוק השבות לא הושפע מחוקי נירנברג: אין לכך זכר בדיוני הכנסת. זו המצאת אמנון רובינשטיין שהיה אז חכ,2020-08-25,סעיף ה נכד ב חוק ה שבות לא הושפע מ חוק נירנברג אין ל כך זכר ב דיון ה כנסת . זו המצאה אמנון רובינשטיין ש היה אז חכ
אופיר כץ,חבר כנסת הליכוד,1,על הפיקוח הציבורי במעונות יום,"80 מפקחים צריכים לפקח על 10,000 פעוטונים, לפי ההערכה, ויש היום רק 23",2020-08-19,"80 מפקח צריך פיקח על 10,000 פעוטון , לפי ה הערכה , ו יש היום רק 23"
יזהר שי,שר המדע והטכנולוגיה כחול לבן,1,"על מינוי מפכ""ל המשטרה",בהסכם שבינינו ובין הליכוד יש הסכמה שאנחנו נדון במינויי בכירים ונסכם אותם. עוד לא סיכמנו,2020-08-19,ב הסכם שבינינו ו בין ה ליכוד יש הסכמה ש הוא נדון ב מינוי בכיר ו סיכם את הם . עוד לא סיכם
צבי האוזר,חבר כנסת כחול לבן,0,על הצעתו להחיל את חוק יסוד משאל עם על יהודה ושומרון,חמש ממשלות שונות ניהלו מומ על ירידה מרמת הגולן. חוק יסוד: משאל עם שם לזה סוף. כל ממשלה שתרצה לרדת מהגולן צריכה לעבור דרך הציבור,2020-08-17,חמש ממשלה שונה ניהל מ ומ על ירידה מ רמה ה גולן . חוק יסוד משאל עם שם ל ה זה סוף . כול ממשלה ש תירץ ירד מהגולן צריך ל עבור דרך ה ציבור
בנימין נתניהו,ראש הממשלה הליכוד,2,על חסינות מפני חקירות בפרלמנט הגרמני,"בגרמניה אי אפשר לחקור חבר פרלמנט בלי אישור המליאה, מפני שמבינים שם כמו בדמוקרטיות רבות, שעלולים לנסות לחולל הפיכה שלטונית באמצעים פסולים",2020-08-12,"ב גרמני אי אפשר חקר חבר פרלמנט בלי אישור ה מליאה , מפני ש הבין שם כמו ב דמוקרטיה רב , ש עלול ניסה חולל הפיך ש ל ה טוני ב אמצע פסול"
זאב אלקין,מועמד לכנסת תקווה חדשה,4,על הטיפול המשפטי באיומים כלפי נתניהו ומשפחתו,"כמה כתבי אישום הוגשו, וכמה אנשים הורשעו על איומים והסתה נגד ראש הממשלה?",2020-08-12,"כמה כתב אישום הוגש , ו כמה איש הורשע על איום ו הסתה נגד ראש ה ממשלה ?"
מיקי זוהר,"יו""ר הקואליציה הליכוד",4,על הבחירה בתקציב חד- או דו-שנתי,תקציב חד שנתי הוא תקציב נכון מבחינת כל גורמי המקצוע,2020-08-04,תקציב חד שנתי הוא תקציב נכון מ בחינה כול גורם ה מקצוע
מירי רגב,שרת התחבורה הליכוד,4,על עידוד ההפגנות נגד הממשלה,הקרן החדשה כותבים תעבירו את הטלפונים שלכם למצב טיסה. זו עבירה על החוק,2020-08-02,ה קרן ה חדש כתב העביר את ה טלפון של אתם ל מצב טיסה . זו עבירה על ה חוק
גדי יברקן,סגן השר לביטחון פנים הליכוד,4,על מקור הרעיון להקמת יישוב ליוצאי אתיופיה,לאחינו מברית המועצות נתנו מושבים. ליוצאי אתיופיה לא נתנו את הדבר הזה,2020-07-30,ל אח מ ברית ה מועצה ניתן מושב . ל יוצא אתיופיה לא ניתן את ה דבר ה זה
אופיר אקוניס,השר לשיתוף פעולה אזורי הליכוד,5,על הסיבה לכך שיהודים חיים מחוץ לארץ ישראל,"טרגדיית הגלויות החלה לפני 2,000 שנה. מכאן נפוצנו לכל העולם והחלה החלוקה לעדות",2020-07-29,"טרגדיית ה גלות החל לפני 2,000 שנה . מ כאן נפוצנו ל כול ה עולם ו החל ה חלוקה ל ה עדות"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",4,על הקלות לחרדים בימי הקורונה,אישרו ל-17 אלף תלמידי ישיבות מארהב להגיע לחגים בלי שום מגבלות שחלות על שאר האוכלוסייה,2020-07-28,"אישר ל 17 אלף תלמיד ישיבה מ ארה""ב הגיע ל ה חג בלי שום מגבלה ש חל על שאר ה אוכלוסייה"
איילת שקד,חברת כנסת ימינה,1,על האפשרות למנוע התפשטות קורונה,"בגרמניה יש מעבדה בשדה התעופה. מי שנכנס ממדינה אדומה עושה בדיקה, תוך שלוש שעות תוצאות",2020-07-27,"ב ה גרמני יש מעבדה ב שדה ה תעופה . מי ש נכנס מ מדינה אדום עשה בדיקה , תוך שלוש שעה תוצאה"
אוסנת מארק,חברה בוועדה למינוי שופטים ליכוד,5,על הבזבוז בלשכת עורכי הדין,"הלשכה מגלגלת למעלה מ-150 מיליון שקל, ועורכי הדין מחויבים באגרה של יותר מ-1,200 שקל",2020-07-27,"ה לשכה גלגל למעלה מ 150 מיליון שקל , ו עורך ה דין חויב ב אגרה של יותר מ 1,200 שקל"
עמיר פרץ,שר הכלכלה העבודה,3,על עידוד ההשקעה מוסדית בהייטק,"בזמן שקרן המורים מארהב השקיעה בהייטק בישראל, על קרנות ישראליות אסרו להשקיע",2020-07-23,"ב ה זמן ש קרן ה מורה מ ארה""ב השקיע ב הייטק ב ישראל , על קרן ישראלי אסר השקיע"
איציק שמולי,שר העבודה והרווחה העבודה,3,על חלוקת מענקי קורונה אחידים,"תוכנית טראמפ הזניקה את החיסכון הפרטי, היא לא תרמה כמעט במאומה לצמיחה",2020-07-22,"תוכנית טראמפ הזניק את ה חיסכון ה פרטי , הוא לא תרם כמעט ב מאומה ל ה צמיחה"
שלמה קרעי,חבר כנסת הליכוד,5,על השכר הנמוך של נתניהו,ראש הממשלה משתכר פחות מהמינימום עבור 30 ימי עבודה של 18 שעות,2020-07-20,ראש ה ממשלה השתכר פחות מ ה מינימום עבור 30 יום עבודה של 18 שעה
